step,train_loss,wall_clock_time_sec,eval_accuracy,eval_selective_aurc,eval_null_weight_mean,eval_null_severity_corr,eval_update_strength_mean,eval_update_strength_severity_corr
1,0.7674974203109741,0.001642465591430664,,,,,,
2,0.8656291365623474,0.0031402111053466797,,,,,,
3,0.8634614944458008,0.004511356353759766,,,,,,
4,0.7240017056465149,0.006072282791137695,,,,,,
5,0.7126505970954895,0.007424116134643555,,,,,,
6,0.7070475816726685,0.008629083633422852,,,,,,
7,0.7161317467689514,0.009836196899414062,,,,,,
8,0.720363974571228,0.011033296585083008,,,,,,
9,0.6456247568130493,0.012415409088134766,,,,,,
10,0.7832280993461609,0.01381826400756836,0.56640625,0.41636860370635986,0.396784245967865,-0.042910341173410416,0.6032156944274902,0.042910363525152206
11,0.7919601202011108,0.017298221588134766,,,,,,
12,0.7775846123695374,0.01854729652404785,,,,,,
13,0.7068737149238586,0.01972818374633789,,,,,,
14,0.7405550479888916,0.02106332778930664,,,,,,
15,0.7307437062263489,0.0224912166595459,,,,,,
16,0.7400301694869995,0.023714065551757812,,,,,,
17,0.6820256114006042,0.02498316764831543,,,,,,
18,0.7788010239601135,0.026130199432373047,,,,,,
19,0.7503256797790527,0.02729320526123047,,,,,,
20,0.6865270733833313,0.028455257415771484,0.5703125,0.3936403691768646,0.3935823142528534,-0.044827401638031006,0.606417715549469,0.0448274090886116
21,0.7202182412147522,0.032317399978637695,,,,,,
22,0.700663685798645,0.03360724449157715,,,,,,
23,0.7289038896560669,0.03486323356628418,,,,,,
24,0.7296719551086426,0.03606724739074707,,,,,,
25,0.7425631880760193,0.03734922409057617,,,,,,
26,0.6763484477996826,0.03888416290283203,,,,,,
27,0.7022204995155334,0.040139198303222656,,,,,,
28,0.6951832175254822,0.041338205337524414,,,,,,
29,0.7455371618270874,0.0425872802734375,,,,,,
30,0.6562089920043945,0.04383516311645508,0.578125,0.3725056052207947,0.39044636487960815,-0.046432919800281525,0.6095536947250366,0.04643295705318451
31,0.72042316198349,0.047440290451049805,,,,,,
32,0.7038478851318359,0.04879426956176758,,,,,,
33,0.6761791706085205,0.05016016960144043,,,,,,
34,0.6519273519515991,0.051476240158081055,,,,,,
35,0.660200834274292,0.05280423164367676,,,,,,
36,0.6981043815612793,0.05420422554016113,,,,,,
37,0.7253718376159668,0.05553102493286133,,,,,,
38,0.7059153318405151,0.05682730674743652,,,,,,
39,0.7050339579582214,0.05808115005493164,,,,,,
40,0.6872503757476807,0.05935931205749512,0.6015625,0.3524799942970276,0.3877517879009247,-0.04771815985441208,0.6122482419013977,0.0477181151509285
41,0.7127918601036072,0.06303620338439941,,,,,,
42,0.6816409230232239,0.06441330909729004,,,,,,
43,0.6793091893196106,0.06576108932495117,,,,,,
44,0.6489769816398621,0.06711125373840332,,,,,,
45,0.6615193486213684,0.06851720809936523,,,,,,
46,0.6707446575164795,0.06987524032592773,,,,,,
47,0.6558583974838257,0.07135844230651855,,,,,,
48,0.6731851696968079,0.07314038276672363,,,,,,
49,0.6799497008323669,0.07464432716369629,,,,,,
50,0.6847051978111267,0.07601046562194824,0.62109375,0.3297649025917053,0.38500112295150757,-0.048900093883275986,0.6149988770484924,0.04890012368559837
