step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.6032270193099976,0.34375,0.001,0.0019600391387939453,1.6026318073272705,0.011904241517186165,0.0,,
2,1.5977517366409302,0.34375,0.001,0.003942966461181641,1.5971955060958862,0.01112413965165615,0.0,,
3,1.592049241065979,0.3125,0.001,0.005978822708129883,1.5915391445159912,0.0102029237896204,0.0,,
4,1.6122212409973145,0.15625,0.001,0.007745027542114258,1.6117570400238037,0.009282938204705715,0.0,,
5,1.5945113897323608,0.28125,0.001,0.00929117202758789,1.5940892696380615,0.008442721329629421,0.0,,
6,1.6011911630630493,0.1875,0.001,0.010768890380859375,1.600807547569275,0.007672922220081091,0.0,,
7,1.5725557804107666,0.40625,0.001,0.0123291015625,1.5722075700759888,0.006964022759348154,0.0,,
8,1.5858761072158813,0.1875,0.001,0.014108896255493164,1.5855623483657837,0.006274138577282429,0.0,,
9,1.5935114622116089,0.15625,0.001,0.015770912170410156,1.5932272672653198,0.0056845019571483135,0.0,,
10,1.5846977233886719,0.25,0.001,0.01759481430053711,1.5844414234161377,0.005125255323946476,0.0,0.1953125,0.03395530581474304
11,1.6112130880355835,0.1875,0.001,0.021082162857055664,1.6109830141067505,0.004601415246725082,0.0,,
12,1.6125340461730957,0.15625,0.001,0.023467063903808594,1.6123275756835938,0.004128917120397091,0.0,,
13,1.5964503288269043,0.125,0.001,0.02527594566345215,1.5962631702423096,0.0037438771687448025,0.0,,
14,1.5869556665420532,0.25,0.001,0.027345895767211914,1.586784839630127,0.0034156409092247486,0.0,,
15,1.5897233486175537,0.1875,0.001,0.02961421012878418,1.589566946029663,0.0031276780646294355,0.0,,
16,1.5876115560531616,0.21875,0.001,0.03221416473388672,1.5874674320220947,0.0028832636307924986,0.0,,
17,1.5758724212646484,0.21875,0.001,0.03435707092285156,1.575738787651062,0.0026734420098364353,0.0,,
18,1.5608881711959839,0.28125,0.001,0.036585092544555664,1.5607627630233765,0.002508606296032667,0.0,,
19,1.5755127668380737,0.28125,0.001,0.039002180099487305,1.575393795967102,0.002379607642069459,0.0,,
20,1.5637222528457642,0.25,0.001,0.04145216941833496,1.5636073350906372,0.002298865932971239,0.0,0.2890625,0.061472147703170776
21,1.5815831422805786,0.1875,0.001,0.04546403884887695,1.5814706087112427,0.0022501652128994465,0.0,,
22,1.5602822303771973,0.34375,0.001,0.04778409004211426,1.560170292854309,0.0022394934203475714,0.0,,
23,1.5538311004638672,0.21875,0.001,0.049861907958984375,1.5537177324295044,0.002267938107252121,0.0,,
24,1.5608679056167603,0.3125,0.001,0.052062034606933594,1.5607506036758423,0.002347118454053998,0.0,,
25,1.5429290533065796,0.40625,0.001,0.05417013168334961,1.5428067445755005,0.00244705518707633,0.0,,
26,1.5427647829055786,0.5,0.001,0.05646491050720215,1.5426356792449951,0.0025821453891694546,0.0,,
27,1.5102767944335938,0.4375,0.001,0.05853104591369629,1.5101391077041626,0.0027547678910195827,0.0,,
28,1.520194411277771,0.40625,0.001,0.06072807312011719,1.520046591758728,0.0029571466147899628,0.0,,
29,1.5352505445480347,0.46875,0.001,0.06344389915466309,1.5350912809371948,0.003185891779139638,0.0,,
30,1.460616946220398,0.53125,0.001,0.06694602966308594,1.460445523262024,0.0034275222569704056,0.0,0.3203125,0.12092062085866928
31,1.466193437576294,0.4375,0.001,0.07282209396362305,1.4660078287124634,0.003711673663929105,0.0,,
32,1.5155237913131714,0.28125,0.001,0.0756380558013916,1.5153236389160156,0.004003630485385656,0.0,,
33,1.572007417678833,0.15625,0.001,0.07830190658569336,1.5717921257019043,0.004306671675294638,0.0,,
34,1.506448745727539,0.25,0.001,0.08278298377990723,1.5062202215194702,0.004571457859128714,0.0,,
35,1.4779143333435059,0.28125,0.001,0.08580899238586426,1.47767174243927,0.004850766155868769,0.0,,
36,1.514831781387329,0.375,0.001,0.08850598335266113,1.5145740509033203,0.005153815262019634,0.0,,
37,1.4749417304992676,0.375,0.001,0.09126806259155273,1.4746685028076172,0.0054650865495204926,0.0,,
38,1.492782473564148,0.34375,0.001,0.0940091609954834,1.4924943447113037,0.005761546082794666,0.0,,
39,1.4233437776565552,0.4375,0.001,0.0976560115814209,1.4230397939682007,0.006079529877752066,0.0,,
40,1.481245994567871,0.375,0.001,0.10048484802246094,1.4809242486953735,0.006434870418161154,0.0,0.3515625,0.16071215271949768
